eventID,occurrenceID,measurementType,measurementValue,measurementUnit,measurementTypeID,measurementValueID,measurementUnitID
20230424_AldabraAtoll_Ileesprit_EE0493,,temperature,26.3,Degrees Celsius,http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/,,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
2023042_AldabraAtoll_Settlementbeach_EE0495,,temperature,25.1,Degrees Celsius,http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/,,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
