name,eventID,size,eventDate,verbatimEventDate,year,month,day,locality,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,higherGeography,higherGeographyID,dna,minimumDepthInMeters,maximumDepthInMeters,temperature,verbatimDepth,samplingProtocol
EE0493,20230424_AldabraAtoll_Ileesprit_EE0493,1450,2023-04-24,24/04/2023,2023,4,24,Ile esprit,46.2253634,9.42518,20,Aldabra Atoll,http://marineregions.org/mrgid/26836,7.23,10,10,26.3,10,https://unesdoc.unesco.org/ark:/48223/pf0000384014
EE0495,2023042_AldabraAtoll_Settlementbeach_EE0495,1500,2023-04-02,02/04/2023,2023,4,2,Settlement beach,46.206047,9.400901,98,Aldabra Atoll,http://marineregions.org/mrgid/26836,15.83,12,12,25.1,12,https://unesdoc.unesco.org/ark:/48223/pf0000384014
